society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
dlf the primus,1.87,sector 82a,10395.0,3,3,3,31.0,Moderately Old,O68656188,flat,1668.0,0,0,0,1,0,0,38,"28.3858° N, 76.9686° E",28.3858,76.9686
m3m soulitude,1.0,sector 89,9066.0,2,2,2,2.0,New Property,P69680328,flat,1226.0,1,0,0,0,0,0,49,"28.4253° N, 76.9439° E",28.4253,76.9439
emaar mgf palm hills,1.65,sector 77,8462.0,4,3,3,9.0,Relatively New,S70076870,flat,1765.0,0,1,0,0,0,0,100,"28.3801° N, 76.9845° E",28.3801,76.9845
huda ashok vihar phase,0.7,sector 4,10234.0,3,2,1,2.0,New Property,R70134894,house,684.0,1,0,0,0,0,0,7,"28.4738° N, 77.0107° E",28.4738,77.0107
ramprastha the edge towers,0.8,sector 37d,8889.0,2,2,3,10.0,Relatively New,J62977642,flat,1310.0,0,0,0,0,1,0,166,"28.4478° N, 76.9703° E",28.4478,76.9703
dlf city plot phase 4,13.0,sector 28,17931.0,10,10,3+,1.0,Relatively New,L68155082,house,8056.0,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
vatika gurgaon,1.33,sector 83,5565.0,4,4,3,3.0,Relatively New,M69186654,flat,2193.0,0,1,0,0,0,0,26,"28.3986° N, 76.9647° E",28.3986,76.9647
independent,0.62,sector 8,11273.0,3,1,0,2.0,Moderately Old,T69442260,house,550.0,0,0,0,0,0,0,0,"28.3738° N, 76.8970° E",28.3738,76.897
sushant lok 1 builder floors,13.0,sector 43,48148.0,3,3,3+,4.0,New Property,Y69766240,house,2700.0,0,0,0,1,0,1,7,"28.4629° N, 77.0772° E",28.4629,77.0772
shapoorji pallonji joyville,1.1,sector 102,12022.0,2,2,1,7.0,Relatively New,K69058384,flat,915.0,0,0,0,0,0,0,0,"28.4750° N, 76.9715° E",28.475,76.9715
independent,2.25,sector 103,6367.0,3,5,3+,10.0,Relatively New,R68478332,house,3534.0,0,0,0,0,0,0,0,"28.4949° N, 76.9845° E",28.4949,76.9845
ansals palam vihar,2.75,sector 2,17662.0,3,3,3,2.0,Moderately Old,E69690248,house,1557.0,1,0,0,1,0,1,15,"28.5095° N, 77.0320° E",28.5095,77.032
emaar palm gardens,1.76,sector 83,9263.0,3,3,3,6.0,Relatively New,H69976064,flat,1500.0,0,1,0,0,0,1,165,"28.3986° N, 76.9647° E",28.3986,76.9647
ss the leaf,1.07,sector 85,6524.0,2,2,3,21.0,Relatively New,U69233522,flat,1484.0,0,0,0,1,0,0,67,"28.4042° N, 76.9513° E",28.4042,76.9513
signature global city 37d ph 2,1.1,sector 37d,8148.0,3,3,1,2.0,Under Construction,S69121822,flat,1500.0,0,0,0,1,0,0,30,"28.4478° N, 76.9703° E",28.4478,76.9703
housing board colony,2.1,sector 28,23333.0,2,8,3+,4.0,Moderately Old,D68648118,house,900.0,0,0,0,0,1,1,38,"28.4728° N, 77.0865° E",28.4728,77.0865
signature global solera,0.3,sector 107,6135.0,2,2,1,5.0,Relatively New,R50229778,flat,544.0,0,0,0,0,0,0,57,"28.5052° N, 76.9729° E",28.5052,76.9729
emaar mgf marbella,9.0,sector 66,21251.0,4,4,3+,2.0,Relatively New,F69979706,house,5200.0,0,1,1,1,0,1,114,"28.3925° N, 77.0541° E",28.3925,77.0541
dlf the ultima,2.25,sector 81,10699.0,3,3,3+,11.0,Relatively New,L69101800,flat,1600.0,1,1,0,1,1,2,49,"28.3867° N, 76.9485° E",28.3867,76.9485
mapsko paradise,0.75,sector 83,5597.0,3,3,3,10.0,New Property,G69826630,flat,1162.0,0,0,0,0,1,1,49,"28.3986° N, 76.9647° E",28.3986,76.9647
hero homes,1.4,sector 104,15819.0,3,2,2,4.0,Under Construction,X61172132,flat,1120.0,0,0,0,0,0,0,49,"28.4788° N, 76.9960° E",28.4788,76.996
vatika city,1.69,sector 49,8622.0,3,3,3,3.0,Moderately Old,R61913142,flat,2178.0,0,0,0,1,0,0,136,"28.4121° N, 77.0480° E",28.4121,77.048
shree vardhman flora,1.27,sector 90,4951.0,4,5,2,9.0,New Property,J68510698,flat,2248.0,1,1,0,0,0,0,83,"28.4085° N, 76.9369° E",28.4085,76.9369
corona gracieux,0.75,sector 76,5660.0,2,2,3,13.0,Relatively New,H66748594,flat,1199.0,0,0,0,0,0,1,0,"28.3935° N, 76.9888° E",28.3935,76.9888
ss,2.1,sector 85,7468.0,4,4,3,2.0,Relatively New,R70087176,flat,2600.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
shree balaji appartment,0.4,sector 33,5000.0,2,2,2,1.0,Relatively New,N59277376,flat,724.0,0,0,0,0,0,2,0,"28.4420° N, 77.0207° E",28.442,77.0207
signature global city 81,0.89,sector 81,8279.0,2,2,2,3.0,Under Construction,M68963232,flat,1194.0,0,0,0,0,1,0,20,"28.3867° N, 76.9485° E",28.3867,76.9485
raheja vedas,2.15,sector 108,4134.0,3,4,3+,12.0,Relatively New,D45804415,flat,4600.0,1,0,0,0,0,0,0,"28.5134° N, 76.9830° E",28.5134,76.983
ramprastha skyz,1.0,sector 37d,4943.0,3,5,3,11.0,Under Construction,Y54621054,flat,1833.0,0,1,0,0,1,0,8,"28.4478° N, 76.9703° E",28.4478,76.9703
independent,2.15,sector 43,13030.0,1,1,0,1.0,Moderately Old,P66222668,house,1650.0,0,0,0,0,0,0,0,"28.4629° N, 77.0772° E",28.4629,77.0772
bestech park view sanskruti,1.5,sector 92,7812.0,3,3,3,3.0,Relatively New,I69424510,flat,1738.0,0,0,0,0,1,0,49,"28.4079° N, 76.9153° E",28.4079,76.9153
vatika gurgaon,1.08,sector 83,6225.0,3,3,2,11.0,Relatively New,B69758474,flat,1570.0,0,0,0,0,1,0,19,"28.3986° N, 76.9647° E",28.3986,76.9647
dlf the ultima,2.25,sector 81,10553.0,3,3,3+,6.0,New Property,A69084776,flat,1929.0,0,1,0,0,0,2,168,"28.3867° N, 76.9485° E",28.3867,76.9485
nagata group housing society,0.85,sector 1,3696.0,3,3,3+,4.0,Relatively New,W68198492,flat,2081.0,0,1,0,0,0,0,5,"28.3663° N, 76.9456° E",28.3663,76.9456
lord krishna,2.7,sector 12,8571.0,4,3,3,6.0,Old Property,Z68946778,flat,3150.0,0,0,0,0,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
la vida by tata housing,2.78,sector 113,11347.0,3,3,3,3.0,New Property,Q68451212,flat,2599.0,1,1,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
emaar mgf palm hills,1.08,sector 77,5400.0,3,4,3+,5.0,Relatively New,K69722888,flat,1810.0,1,1,0,0,1,1,167,"28.3801° N, 76.9845° E",28.3801,76.9845
tulip violet,1.68,sector 69,8358.0,4,4,2,7.0,Relatively New,A68277302,flat,1819.0,0,0,0,0,0,0,127,"28.3966° N, 77.0341° E",28.3966,77.0341
bestech park view residency,0.55,sector 2,8462.0,1,1,2,7.0,Moderately Old,Z44931141,flat,588.0,0,0,0,0,0,0,31,"28.5095° N, 77.0320° E",28.5095,77.032
suncity heights,3.85,sector 54,16446.0,3,3,3+,8.0,Old Property,O70167560,flat,2119.0,0,1,0,0,0,0,67,"28.4348° N, 77.1089° E",28.4348,77.1089
independent,7.25,sector 41,29293.0,9,8,3,4.0,Old Property,W69360006,house,2475.0,0,1,0,0,0,1,94,"28.4557° N, 77.0632° E",28.4557,77.0632
antriksh heights,0.89,sector 84,4369.0,3,3,3,8.0,Relatively New,D69973246,flat,1833.0,0,0,0,1,0,0,67,"28.3979° N, 76.9736° E",28.3979,76.9736
shri ram apartments,0.46,sector 4,5111.0,2,2,1,1.0,Relatively New,M67722756,flat,1000.0,0,0,0,0,0,1,69,"28.4738° N, 77.0107° E",28.4738,77.0107
housing board colony,0.3,sector 51,4630.0,1,1,0,0.0,Moderately Old,Y69902620,flat,80.0,1,0,0,0,0,0,15,"28.4320° N, 77.0686° E",28.432,77.0686
ramprastha primera,1.1,sector 37d,6111.0,3,3,3,6.0,Relatively New,I70105392,flat,1700.0,0,0,0,0,0,0,149,"28.4478° N, 76.9703° E",28.4478,76.9703
independent,3.6,sector 91,14815.0,4,4,3,2.0,New Property,R69964752,house,2430.0,0,0,0,0,0,1,49,"28.4014° N, 76.9225° E",28.4014,76.9225
bestech altura,2.69,sector 79,12500.0,3,4,3+,3.0,New Property,M69582218,flat,2152.0,0,1,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
orris carnation residency,0.8,sector 85,4857.0,3,4,3,4.0,Relatively New,Y69459254,flat,1390.0,0,1,0,0,0,1,40,"28.4042° N, 76.9513° E",28.4042,76.9513
shapoorji pallonji joyville gurugram,2.4,sector 102,10545.0,4,4,3+,15.0,Relatively New,U69558274,flat,1957.0,0,0,0,0,0,0,108,"28.4750° N, 76.9715° E",28.475,76.9715
sushant lok 1 builder floors,2.45,sector 43,7756.0,4,4,3+,3.0,Moderately Old,M69616474,house,540.0,1,1,0,1,1,2,123,"28.4629° N, 77.0772° E",28.4629,77.0772
spectrum centre,0.62,sector 82a,9538.0,1,1,0,6.0,Relatively New,C69239554,flat,650.0,0,0,0,0,0,0,0,"28.3858° N, 76.9686° E",28.3858,76.9686
alpha corp gurgaonone,2.2,sector 84,7586.0,4,4,3,10.0,Relatively New,C69431042,flat,3222.0,0,1,0,0,0,0,21,"28.3979° N, 76.9736° E",28.3979,76.9736
ramsons kshitij,0.17,sector 95,544.0,1,1,1,12.0,Relatively New,X70174042,flat,3569.0,0,0,0,0,0,0,56,"28.4172° N, 76.9081° E",28.4172,76.9081
tata primanti,5.25,sector 72,15648.0,4,4,3+,30.0,New Property,A69925374,flat,3000.0,0,1,0,0,0,1,174,"28.4225° N, 77.0211° E",28.4225,77.0211
la vida by tata housing,1.9,sector 113,18500.0,3,2,2,10.0,Relatively New,Y69198780,flat,1285.0,0,0,0,1,0,1,174,"28.5287° N, 77.0233° E",28.5287,77.0233
independent,1.7,sector 12,8000.0,5,5,3,3.0,Moderately Old,Z62601748,house,2000.0,0,0,0,1,1,0,9,"28.4723° N, 77.0320° E",28.4723,77.032
bestech park view spa next,2.35,sector 67,12145.0,3,4,3+,14.0,Moderately Old,M69768722,flat,1751.0,0,1,0,0,0,1,156,"28.3859° N, 77.0608° E",28.3859,77.0608
bptp park generations,1.5,sector 37d,9868.0,3,2,3+,17.0,Relatively New,Z69748514,flat,1376.0,0,0,0,0,0,0,42,"28.4478° N, 76.9703° E",28.4478,76.9703
orris aster court premier,1.73,sector 85,6758.0,4,5,3+,8.0,Relatively New,X69344002,flat,2017.0,0,1,0,0,0,0,16,"28.4042° N, 76.9513° E",28.4042,76.9513
indiabulls centrum park,1.2,sector 103,8433.0,2,2,3,3.0,Moderately Old,V68887136,flat,1288.0,0,0,0,0,0,0,26,"28.4949° N, 76.9845° E",28.4949,76.9845
independent,15.0,sector 26,33333.0,4,4,3,3.0,Moderately Old,E70408864,house,4500.0,0,1,1,0,0,1,36,"28.4757° N, 77.1032° E",28.4757,77.1032
dlf new town heights,1.51,sector 90,6387.0,4,4,3+,6.0,Relatively New,G69632410,flat,2362.0,0,1,0,1,0,1,142,"28.4085° N, 76.9369° E",28.4085,76.9369
corona gracieux,1.05,sector 76,5949.0,3,3,3+,7.0,Relatively New,C69055372,flat,1597.0,0,0,0,0,0,1,133,"28.3935° N, 76.9888° E",28.3935,76.9888
zara aavaas,0.49,sector 104,6577.0,3,2,2,7.0,Under Construction,D64535100,flat,695.0,0,0,0,0,0,0,74,"28.4788° N, 76.9960° E",28.4788,76.996
vatika independent floors,1.45,sector 82,8056.0,4,3,0,1.0,Relatively New,M69926636,flat,1800.0,0,0,0,0,0,0,50,"28.3935° N, 76.9600° E",28.3935,76.96
microtek greenburg,1.25,sector 86,8446.0,3,4,3,0.0,Relatively New,D69131478,flat,1339.0,1,0,0,0,0,0,49,"28.3986° N, 76.9384° E",28.3986,76.9384
m3m skywalk,1.6,sector 74,11380.0,2,2,2,28.0,New Property,E69703134,flat,1272.0,0,0,0,0,0,0,15,"28.4158° N, 77.0118° E",28.4158,77.0118
dlf city plots,13.5,sector 26,29880.0,5,5,2,2.0,Moderately Old,Q68631104,house,4518.0,1,1,0,0,1,1,104,"28.4757° N, 77.1032° E",28.4757,77.1032
vipul tatvam villa,8.5,sector 48,26235.0,4,6,3,3.0,Old Property,W68875850,house,3240.0,0,1,0,1,1,0,49,"28.4177° N, 77.0359° E",28.4177,77.0359
independent,2.0,sector 7,11111.0,2,2,1,2.0,Relatively New,X69503654,house,1800.0,0,0,0,0,0,0,0,"28.4644° N, 77.0143° E",28.4644,77.0143
conscient heritage max,2.1,sector 102,9772.0,3,4,3+,10.0,Relatively New,C69124616,flat,1945.0,1,1,0,0,0,0,53,"28.4750° N, 76.9715° E",28.475,76.9715
independent,5.5,sector 43,28424.0,1,1,0,1.0,Old Property,D69146272,house,1935.0,0,0,0,0,1,0,12,"28.4629° N, 77.0772° E",28.4629,77.0772
emaar palm gardens,1.73,sector 83,9105.0,3,3,3,5.0,Relatively New,C69392058,flat,1600.0,0,1,0,0,0,1,174,"28.3986° N, 76.9647° E",28.3986,76.9647
mittal surya vihar,0.8,sector 21,7080.0,2,2,2,6.0,Old Property,T64784442,flat,1256.0,0,0,0,0,0,0,0,"28.5134° N, 77.0723° E",28.5134,77.0723
parsvnath green ville,2.0,sector 48,7764.0,3,3,0,15.0,Relatively New,I22744913,flat,1923.0,0,1,0,0,0,0,74,"28.4177° N, 77.0359° E",28.4177,77.0359
m3m skywalk,1.48,sector 74,12333.0,2,2,3,13.0,Relatively New,J69816764,flat,1300.0,0,0,1,0,0,0,158,"28.4158° N, 77.0118° E",28.4158,77.0118
pyramid urban homes 2,0.5,sector 86,9615.0,2,2,1,10.0,Relatively New,E68456930,flat,578.0,0,0,0,0,0,0,15,"28.3986° N, 76.9384° E",28.3986,76.9384
godrej summit,1.35,sector 104,5000.0,4,5,3+,0.0,Relatively New,I68502820,flat,3000.0,1,1,1,1,0,0,112,"28.4788° N, 76.9960° E",28.4788,76.996
supertech araville,0.8,sector 79,5267.0,2,2,2,12.0,New Property,G68851842,flat,1688.0,1,0,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
tulip monsella,7.4,sector 53,33199.0,4,4,3,21.0,Under Construction,A66658898,flat,2477.0,0,0,0,0,0,0,35,"28.4433° N, 77.0948° E",28.4433,77.0948
ats kocoon,1.68,sector 109,9628.0,3,3,3,8.0,Relatively New,X69510728,flat,1579.0,0,0,0,0,0,0,142,"28.5073° N, 77.0089° E",28.5073,77.0089
ats triumph,2.6,sector 104,8254.0,4,4,3+,12.0,Relatively New,S68587250,flat,2851.0,0,1,0,0,0,0,118,"28.4788° N, 76.9960° E",28.4788,76.996
ramsons kshitij,0.32,sector 95,4501.0,2,2,1,8.0,Relatively New,F54906058,flat,563.0,0,0,0,0,1,2,28,"28.4172° N, 76.9081° E",28.4172,76.9081
unitech escape,12.0,sector 50,37037.0,5,6,3+,3.0,Moderately Old,X68022614,house,3240.0,0,0,0,0,0,0,66,"28.4178° N, 77.0628° E",28.4178,77.0628
conscient heritage max,2.15,sector 102,9307.0,3,4,3,13.0,Relatively New,U69573286,flat,1945.0,1,1,0,0,0,0,101,"28.4750° N, 76.9715° E",28.475,76.9715
bestech park view ananda,1.4,sector 81,7735.0,3,3,3+,6.0,Relatively New,A69156170,flat,1475.0,0,0,0,0,0,0,95,"28.3867° N, 76.9485° E",28.3867,76.9485
signature global city 92,0.78,sector 92,7723.0,2,2,3,2.0,Under Construction,C69153300,flat,846.0,0,0,0,0,1,0,24,"28.4079° N, 76.9153° E",28.4079,76.9153
sidhartha ncr one phase,0.43,sector 95,3152.0,2,2,2,6.0,Relatively New,J66625644,flat,1300.0,0,0,0,0,0,0,120,"28.4172° N, 76.9081° E",28.4172,76.9081
the roselia 2,0.45,sector 95,6475.0,2,2,2,19.0,New Property,N69442252,flat,695.0,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
emaar digihomes,2.15,sector 62,14257.0,2,2,3,31.0,Under Construction,B68616192,flat,1676.0,0,0,0,0,0,0,101,"28.4139° N, 77.0886° E",28.4139,77.0886
smart world orchard,2.54,sector 61,15497.0,3,3,3,2.0,Under Construction,I69547932,flat,1639.0,0,0,1,0,0,0,16,"28.4050° N, 77.0963° E",28.405,77.0963
dlf regency park,2.3,sector 28,11819.0,3,3,3,7.0,Moderately Old,E68554406,flat,1777.0,0,1,0,0,0,0,117,"28.4728° N, 77.0865° E",28.4728,77.0865
emaar mgf emerald floors premier,2.4,sector 65,14545.0,3,3,3,3.0,Relatively New,X69990764,flat,1600.0,1,1,0,0,0,1,49,"28.4030° N, 77.0690° E",28.403,77.069
independent,1.45,sector 24,2984.0,3,3,1,2.0,Old Property,N52835680,house,540.0,0,0,0,0,0,0,9,"28.4939° N, 77.1038° E",28.4939,77.1038
independent,2.25,sector 7,15625.0,3,3,2,2.0,Old Property,U67242684,house,1440.0,0,0,0,0,0,1,27,"28.4644° N, 77.0143° E",28.4644,77.0143
tata primanti,3.85,sector 72,13253.0,4,5,3+,13.0,Relatively New,J69327618,flat,2629.0,0,1,0,0,0,1,174,"28.4225° N, 77.0211° E",28.4225,77.0211
m3m woodshire,0.82,sector 107,6003.0,2,2,3+,7.0,Relatively New,U69550268,flat,1236.0,0,0,0,0,0,0,111,"28.5052° N, 76.9729° E",28.5052,76.9729
cghs airport apartment,1.8,sector 47,6000.0,4,4,3+,4.0,Moderately Old,V69086280,flat,2857.0,0,0,1,0,0,1,120,"28.4276° N, 77.0492° E",28.4276,77.0492
sare homes,0.95,sector 92,4750.0,4,3,2,17.0,New Property,J57458556,flat,1983.0,0,0,0,0,0,1,7,"28.4079° N, 76.9153° E",28.4079,76.9153
dlf the ultima,2.3,sector 81,10994.0,3,4,3+,6.0,New Property,J69272686,flat,1893.0,0,1,0,0,0,2,167,"28.3867° N, 76.9485° E",28.3867,76.9485
uphaar residency 2,0.42,sector 105,5600.0,3,2,1,0.0,Moderately Old,V66177344,flat,833.0,0,0,0,0,1,0,7,"28.4952° N, 77.0114° E",28.4952,77.0114
ats triumph,1.85,sector 104,8079.0,3,4,3+,14.0,Relatively New,K70066734,flat,2072.0,1,1,1,1,0,0,117,"28.4788° N, 76.9960° E",28.4788,76.996
signature global grand iva,0.23,sector 103,6534.0,1,1,1,4.0,Relatively New,Y66925870,flat,400.0,0,0,0,0,0,0,23,"28.4949° N, 76.9845° E",28.4949,76.9845
satya the legend,9.25,sector 57,16577.0,5,5,3+,4.0,Relatively New,R69642358,house,5580.0,1,1,1,1,0,1,160,"28.4232° N, 77.0752° E",28.4232,77.0752
ireo victory valley,3.5,sector 67,14583.0,3,4,3,24.0,Relatively New,N69311428,flat,2490.0,0,1,0,1,0,1,149,"28.3859° N, 77.0608° E",28.3859,77.0608
mian wali,1.7,sector 12,9444.0,1,1,1,1.0,Old Property,V63196212,house,1800.0,0,1,0,0,0,0,7,"28.4723° N, 77.0320° E",28.4723,77.032
indiabulls enigma,3.3,sector 110,9851.0,4,5,3,7.0,Relatively New,F69578270,flat,3032.0,0,1,0,0,0,0,101,"28.5145° N, 77.0197° E",28.5145,77.0197
experion the heartsong,2.0,sector 108,8554.0,3,3,3+,14.0,Relatively New,H53750408,flat,2116.0,0,1,0,0,0,0,95,"28.5134° N, 76.9830° E",28.5134,76.983
independent,4.5,sector 26,33333.0,5,5,3+,2.0,Old Property,V64373068,house,1350.0,0,0,0,0,0,0,7,"28.4757° N, 77.1032° E",28.4757,77.1032
sare crescent parc,1.0,sector 92,5128.0,4,3,2,1.0,Relatively New,K64895528,flat,2167.0,0,0,0,0,0,0,49,"28.4079° N, 76.9153° E",28.4079,76.9153
sare crescent parc,1.0,sector 92,4778.0,4,4,3,9.0,Relatively New,B70143732,flat,2093.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
lotus homz,0.36,sector 111,8889.0,1,1,1,10.0,Relatively New,L69472130,flat,450.0,0,0,0,0,0,0,44,"28.5238° N, 77.0320° E",28.5238,77.032
bptp terra,1.8,sector 37d,8215.0,4,3,3,18.0,Relatively New,P70022016,flat,2025.0,1,1,0,1,0,0,49,"28.4478° N, 76.9703° E",28.4478,76.9703
godrej summit,0.85,sector 104,5878.0,2,2,3+,10.0,Relatively New,H50040316,flat,1269.0,1,0,0,0,0,0,79,"28.4788° N, 76.9960° E",28.4788,76.996
experion windchants,5.49,sector 112,11585.0,4,5,3+,5.0,Relatively New,P60456632,flat,3655.35,0,1,0,0,0,1,168,"28.5189° N, 77.0183° E",28.5189,77.0183
emaar gurgaon greens,1.3,sector 102,7879.0,3,3,3,7.0,Relatively New,Q61696670,flat,1388.0,0,1,0,0,0,0,93,"28.4750° N, 76.9715° E",28.475,76.9715
m3m woodshire,1.49,sector 107,6311.0,3,4,3+,5.0,Relatively New,I67108708,flat,2137.0,0,1,1,0,0,1,174,"28.5052° N, 76.9729° E",28.5052,76.9729
conscient heritage max,2.65,sector 102,10376.0,4,5,3+,17.0,Moderately Old,U70043824,flat,2311.0,0,1,0,0,0,0,125,"28.4750° N, 76.9715° E",28.475,76.9715
vatika india next,6.5,sector 82,20062.0,4,3,0,2.0,Relatively New,O68021412,house,3240.0,0,0,0,0,0,0,0,"28.3935° N, 76.9600° E",28.3935,76.96
independent,1.16,sector 7,11694.0,2,4,2,3.0,Moderately Old,N69560152,house,1102.0,0,0,0,0,1,0,39,"28.4644° N, 77.0143° E",28.4644,77.0143
ats triumph,2.5,sector 104,7937.0,4,4,3+,14.0,New Property,D68280420,flat,2851.0,0,1,0,0,0,0,21,"28.4788° N, 76.9960° E",28.4788,76.996
corona optus,1.2,sector 37c,6916.0,3,4,3,8.0,Relatively New,A69464642,flat,1635.0,0,0,0,0,0,0,149,"28.4515° N, 76.9882° E",28.4515,76.9882
emaar digihomes,2.1,sector 62,13926.0,2,2,3,12.0,New Property,V70088016,flat,1500.0,0,0,0,0,1,1,49,"28.4139° N, 77.0886° E",28.4139,77.0886
signature global city 92,0.99,sector 92,9074.0,3,2,3,1.0,Under Construction,O69837444,flat,1091.0,0,0,0,0,0,0,24,"28.4079° N, 76.9153° E",28.4079,76.9153
microtek greenburg,1.45,sector 86,9797.0,3,2,3,8.0,Relatively New,M69031366,flat,1480.0,0,0,0,0,0,2,72,"28.3986° N, 76.9384° E",28.3986,76.9384
vatika signature villas,3.2,sector 82,14350.0,3,4,3,1.0,New Property,I65064814,house,2160.0,1,1,1,1,0,0,66,"28.3935° N, 76.9600° E",28.3935,76.96
independent,0.47,sector 4,10609.0,2,2,1,2.0,New Property,Y67947294,house,50.0,1,0,0,0,0,1,73,"28.4738° N, 77.0107° E",28.4738,77.0107
dlf new town heights,1.42,sector 90,4865.0,4,4,3+,8.0,Moderately Old,O64172318,flat,2139.0,0,1,1,0,0,0,31,"28.4085° N, 76.9369° E",28.4085,76.9369
ss the leaf,1.05,sector 85,6402.0,2,2,3,6.0,Relatively New,G69665996,flat,1484.0,0,0,0,0,1,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
independent,4.5,sector 24,33333.0,2,8,3+,4.0,Relatively New,Q69297316,house,1350.0,0,1,1,0,0,1,56,"28.4939° N, 77.1038° E",28.4939,77.1038
ats tourmaline,1.4,sector 109,8000.0,3,3,3+,9.0,Relatively New,P69511818,flat,1584.0,0,0,0,0,0,0,95,"28.5073° N, 77.0089° E",28.5073,77.0089
sidhartha ncr one,0.57,sector 95,4179.0,2,2,2,10.0,New Property,G64213930,flat,1364.0,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
vatika sovereign park,3.2,sector 99,9922.0,4,4,0,5.0,Under Construction,O69031232,flat,3225.0,0,0,0,0,0,0,23,"28.4640° N, 76.9614° E",28.464,76.9614
nirvana cedar crest,7.1,sector 50,32870.0,5,4,3,2.0,Moderately Old,J69949690,house,2160.0,1,0,1,1,0,1,110,"28.4178° N, 77.0628° E",28.4178,77.0628
parsvnath exotica,5.0,sector 53,17271.0,3,4,3+,8.0,Relatively New,V70094774,flat,2500.0,0,1,0,1,1,1,49,"28.4433° N, 77.0948° E",28.4433,77.0948
dlf the primus,1.85,sector 82a,10176.0,3,3,3,15.0,Moderately Old,R69271406,flat,1677.0,0,0,0,0,1,0,38,"28.3858° N, 76.9686° E",28.3858,76.9686
ss aaron ville,6.75,sector 49,19737.0,5,4,2,2.0,Old Property,F62649750,house,3420.0,1,1,1,0,0,0,78,"28.4121° N, 77.0480° E",28.4121,77.048
unitech espace,7.42,sector 50,34352.0,4,4,3,2.0,Old Property,A68499108,house,3200.0,0,0,0,0,0,1,88,"28.4178° N, 77.0628° E",28.4178,77.0628
m3m woodshire,0.94,sector 107,6881.0,2,2,3+,1.0,Moderately Old,A70026726,flat,1236.0,0,0,0,0,0,0,113,"28.5052° N, 76.9729° E",28.5052,76.9729
umang winter hills,1.1,sector 77,5296.0,3,4,3+,9.0,Relatively New,B69655158,flat,1829.0,0,1,0,0,0,0,49,"28.3801° N, 76.9845° E",28.3801,76.9845
landmark the residency,0.9,sector 103,6667.0,2,2,2,1.0,Relatively New,B58881018,flat,1222.0,0,0,0,0,0,0,44,"28.4949° N, 76.9845° E",28.4949,76.9845
adani m2k oyster grande,1.9,sector 102,14074.0,3,4,3,21.0,Relatively New,A69157350,flat,1605.0,0,1,0,0,0,0,60,"28.4750° N, 76.9715° E",28.475,76.9715
brisk lumbini terrace homes,1.5,sector 109,6617.0,3,3,1,4.0,New Property,E68931654,flat,2519.0,0,1,0,0,0,0,37,"28.5073° N, 77.0089° E",28.5073,77.0089
independent,3.4,sector 9,12938.0,9,9,3,3.0,Moderately Old,O69749646,house,2628.0,0,0,0,0,0,1,61,"28.4603° N, 77.0000° E",28.4603,77.0
orchid petals,4.79,sector 49,11629.0,5,5,3+,14.0,Relatively New,Y70021990,flat,3724.0,1,1,0,1,0,0,49,"28.4121° N, 77.0480° E",28.4121,77.048
tulip ivory,2.0,sector 70,8333.0,4,5,3+,2.0,Relatively New,C69096992,flat,2172.0,0,1,0,0,0,1,49,"28.3968° N, 77.0233° E",28.3968,77.0233
sonata group housing gh 24,1.65,manesar,5893.0,4,3,3,8.0,New Property,P68194060,flat,3111.0,0,1,0,0,0,0,20,"28.3515° N, 76.9428° E",28.3515,76.9428
vatika gurgaon,1.18,sector 83,6801.0,3,3,2,14.0,Relatively New,M69428292,flat,1618.0,0,0,0,0,0,0,26,"28.3986° N, 76.9647° E",28.3986,76.9647
emaar mgf emerald floors premier,2.0,sector 65,12121.0,3,3,3,1.0,Relatively New,R70171066,flat,1833.0,0,1,0,0,0,1,124,"28.4030° N, 77.0690° E",28.403,77.069
international city by sobha phase 1,6.0,sector 109,24691.0,4,5,3+,2.0,Relatively New,X69122618,house,2430.0,0,1,0,0,0,1,96,"28.5073° N, 77.0089° E",28.5073,77.0089
corona optus,1.27,sector 37c,7232.0,3,3,3,2.0,Relatively New,I70044694,flat,1595.0,0,0,0,0,1,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
the close north,2.35,sector 50,11768.0,3,3,3+,8.0,Moderately Old,Z69735238,flat,1950.0,0,0,0,0,0,1,165,"28.4178° N, 77.0628° E",28.4178,77.0628
imperia the esfera,0.98,sector 37c,5399.0,3,4,3,9.0,Relatively New,T70039480,flat,1660.0,0,1,0,0,1,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
