society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
tulip violet,1.31,sector 69,8518.0,3,3,2,12.0,Relatively New,V69215690,flat,1392.0,0,0,0,1,0,1,174,"28.3966° N, 77.0341° E",28.3966,77.0341
godrej,1.93,sector 79,8532.0,3,4,3+,5.0,Relatively New,G69484496,flat,2047.0,0,1,0,0,0,0,158,"28.3624° N, 76.9787° E",28.3624,76.9787
the penthouses at the hibiscus,8.0,sector 50,8888.0,4,3,3,7.0,Moderately Old,I68296122,flat,10000.0,0,1,0,0,0,0,35,"28.4178° N, 77.0628° E",28.4178,77.0628
vatika lifestyle homes,1.25,sector 83,6838.0,3,2,1,6.0,Relatively New,B69846404,flat,1654.0,1,1,1,1,0,2,174,"28.3986° N, 76.9647° E",28.3986,76.9647
pivotal riddhi siddhi,0.4,sector 99,4444.0,2,2,2,9.0,New Property,G53211690,flat,733.0,0,0,0,0,0,0,60,"28.4640° N, 76.9614° E",28.464,76.9614
emaar mgf emerald floors premier,2.9,sector 65,14684.0,4,4,0,0.0,Relatively New,V57733226,flat,2194.0,0,0,1,0,0,0,50,"28.4030° N, 77.0690° E",28.403,77.069
green court,0.47,sector 90,6812.0,2,2,1,0.0,New Property,Z68954336,flat,767.0,0,0,0,0,0,0,49,"28.4085° N, 76.9369° E",28.4085,76.9369
emaar palm heights,2.1,sector 77,10370.0,3,3,3,17.0,New Property,M66237678,flat,1833.0,1,1,0,0,0,0,8,"28.3801° N, 76.9845° E",28.3801,76.9845
bestech park view residency,1.36,sector 2,7645.0,3,3,3+,5.0,Moderately Old,X68401148,flat,1611.0,0,0,0,0,0,0,84,"28.5095° N, 77.0320° E",28.5095,77.032
independent,4.0,sector 38,21786.0,6,6,3+,4.0,Old Property,F69521040,house,1836.0,1,1,0,1,1,1,137,"28.4347° N, 77.0430° E",28.4347,77.043
aditya apartment,1.0,manesar,4032.0,3,4,0,3.0,New Property,C20893671,flat,2480.0,0,0,0,0,0,0,0,"28.3515° N, 76.9428° E",28.3515,76.9428
saksham welfare association,4.7,sector 22,19848.0,6,6,3+,2.0,Old Property,D70220764,house,2368.0,0,0,1,1,0,1,106,"28.5072° N, 77.0640° E",28.5072,77.064
unitech uniworld gardens,1.05,sector 47,10532.0,2,2,2,3.0,Relatively New,N68074094,flat,1108.0,0,0,0,0,0,1,34,"28.4276° N, 77.0492° E",28.4276,77.0492
m3m skycity,3.5,sector 65,17040.0,3,3,3,15.0,New Property,Y69073178,flat,2282.0,1,1,0,1,0,1,166,"28.4030° N, 77.0690° E",28.403,77.069
paras dews,1.05,sector 106,7581.0,2,2,2,5.0,New Property,V68755796,flat,1539.0,0,0,0,0,0,0,97,"28.5007° N, 77.0003° E",28.5007,77.0003
indiabulls centrum park,1.9,sector 103,5682.0,3,4,3+,10.0,Relatively New,D69120526,flat,3716.0,1,1,0,1,1,1,49,"28.4949° N, 76.9845° E",28.4949,76.9845
ireo the corridors,1.8,sector 67a,9370.0,3,3,2,3.0,New Property,Y69734306,flat,1551.0,1,0,1,0,0,1,150,"28.3960° N, 77.0372° E",28.396,77.0372
huda plots,2.95,sector 56,20359.0,2,2,2,1.0,Moderately Old,P69594254,house,1449.0,0,0,0,0,0,0,31,"28.4245° N, 77.0991° E",28.4245,77.0991
la vida by tata housing,1.55,sector 113,11654.0,2,2,3,2.0,New Property,Y68450358,flat,1276.0,0,0,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
spaze privvy the address,1.25,sector 93,5700.0,4,4,3,16.0,Relatively New,N69775826,flat,2105.0,0,0,0,0,0,0,0,"28.4153° N, 76.9326° E",28.4153,76.9326
la vida by tata housing,2.4,sector 113,10825.0,3,4,3+,5.0,Relatively New,U69781434,flat,1940.0,0,1,0,0,0,0,49,"28.5287° N, 77.0233° E",28.5287,77.0233
ss,1.98,sector 85,8223.0,3,4,3,6.0,Relatively New,E70087054,flat,2300.0,0,0,0,0,0,0,42,"28.4042° N, 76.9513° E",28.4042,76.9513
tulip ivory,5.0,sector 70,10417.0,6,7,3+,0.0,Relatively New,N68921910,flat,5333.0,1,1,0,0,0,0,119,"28.3968° N, 77.0233° E",28.3968,77.0233
paras dews,0.92,sector 106,6643.0,2,2,3+,2.0,Relatively New,K69956704,flat,940.0,0,0,0,0,0,0,174,"28.5007° N, 77.0003° E",28.5007,77.0003
ss the leaf,1.85,sector 85,7683.0,3,4,3,2.0,Relatively New,Z69461738,flat,2179.0,1,1,0,0,0,1,49,"28.4042° N, 76.9513° E",28.4042,76.9513
tulip violet,1.75,sector 69,9459.0,3,4,2,0.0,Relatively New,A69646676,flat,2056.0,0,0,0,0,0,1,174,"28.3966° N, 77.0341° E",28.3966,77.0341
m3m crown,4.67,sector 111,17000.0,4,4,3+,8.0,Under Construction,I68979650,flat,3056.0,0,0,0,0,0,0,73,"28.5238° N, 77.0320° E",28.5238,77.032
piedmont taksila heights,1.05,sector 37c,4792.0,3,3,3,7.0,Relatively New,M38858307,flat,1738.0,0,0,0,0,0,1,81,"28.4515° N, 76.9882° E",28.4515,76.9882
ss,1.19,sector 85,7121.0,2,2,3,11.0,Relatively New,I70084618,flat,1670.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
bestech park view grand spa,2.91,sector 81,9137.0,4,5,2,6.0,Relatively New,B69802996,flat,3017.0,0,1,0,0,0,1,101,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,1.2,sector 23,6231.0,3,2,2,3.0,New Property,A68198356,house,1500.0,0,0,0,0,0,1,79,"28.5121° N, 77.0478° E",28.5121,77.0478
m3m golfestate,13.2,sector 65,12000.0,4,4,3,13.0,Moderately Old,T68297184,flat,12222.0,0,1,0,0,0,0,60,"28.4030° N, 77.0690° E",28.403,77.069
puri emerald bay,2.23,sector 104,9911.0,3,4,3+,10.0,Relatively New,O69187884,flat,2359.0,0,1,0,0,0,1,159,"28.4788° N, 76.9960° E",28.4788,76.996
independent,2.25,sector 7,16892.0,5,3,0,2.0,Old Property,B68021340,house,148.0,0,0,0,0,0,0,0,"28.4644° N, 77.0143° E",28.4644,77.0143
